distance(units),Banana,GreenShell,RedShell,Mushroom,Bomb,Blooper,BlueShell,TripleShroom,Star,Bullet,Shock,QueenShroom,Flower,Plant,Boomerang,Coin,Boombox,TripleBanana,TripleGreen,TripleRed,CrazyEight,Boo
1,14.70%,10.80%,36.90%,11.80%,3.70%,,,,,,,,,,0.60%,15.40%,6.10%,,,,,
840,9.90%,9.90%,43.10%,20.00%,4.90%,,,0.30%,,,,,2.10%,,1.00%,4.80%,4.00%,,,,,
1190,6.50%,8.50%,48.60%,16.40%,3.10%,,,3.00%,,,,,4.00%,0.10%,1.40%,3.10%,5.40%,,,,,
1610,5.00%,9.30%,40.40%,18.20%,2.40%,,,11.20%,,,,,1.70%,1.30%,1.70%,1.20%,5.60%,,,1.90%,,0.20%
2280,2.50%,8.10%,40.90%,13.40%,1.90%,,,15.60%,0.10%,,,,2.40%,1.50%,0.30%,,2.00%,,,10.30%,,1.10%
2760,2.60%,7.70%,37.00%,11.90%,1.00%,,,16.20%,2.60%,,,,2.00%,2.40%,,,,,,15.00%,,1.60%
3130,2.00%,7.10%,37.80%,7.60%,1.20%,,,20.90%,3.50%,,,,2.20%,1.50%,,,,,,14.20%,,2.20%
3430,2.30%,5.20%,31.20%,9.50%,0.70%,0.20%,,22.60%,4.10%,,,,0.90%,2.00%,,,,,,19.30%,,2.10%
3530,2.30%,6.60%,32.10%,10.60%,0.10%,0.30%,,17.20%,5.40%,,,0.90%,1.10%,2.20%,,,,,,19.30%,,1.80%
3790,2.20%,5.40%,29.30%,9.60%,,0.40%,,22.20%,4.70%,,,2.60%,1.40%,1.80%,,,,,,18.50%,,1.90%
4075,1.50%,5.20%,22.90%,5.90%,,1.00%,,23.50%,8.50%,,,4.50%,0.60%,3.40%,,,,,,17.90%,,5.20%
4700,3.30%,3.70%,15.50%,4.80%,,0.90%,,22.70%,13.70%,,,11.50%,,2.50%,,,,,,16.50%,,5.00%
5750,2.40%,6.50%,5.50%,6.90%,,0.80%,,30.00%,24.50%,,,18.30%,,0.30%,,,,,,,,4.90%
6270,2.80%,9.00%,,8.30%,,1.20%,,21.60%,21.90%,,,32.60%,,,,,,,,,,2.60%
7135,6.50%,7.20%,,4.90%,,1.60%,,22.50%,26.20%,,,28.50%,,,,,,,,,,2.50%
8700,5.00%,3.50%,,5.10%,,0.60%,,19.30%,31.70%,,,34.80%,,,,,,,,,,
10000,5.60%,5.20%,,11.70%,,,,15.80%,17.30%,,,44.40%,,,,,,,,,,
