distance(units),Banana,GreenShell,RedShell,Mushroom,Bomb,Blooper,BlueShell,TripleShroom,Star,Bullet,Shock,QueenShroom,Flower,Plant,Boomerang,Coin,Boombox,TripleBanana,TripleGreen,TripleRed,CrazyEight,Boo
1,,,,100.00%,,,,,,,,,,,,,,,,,,
840,,,,99.70%,,,,0.30%,,,,,,,,,,,,,,
1190,,,,53.90%,,,,46.10%,,,,,,,,,,,,,,
1610,,,,31.80%,,,,68.00%,,,,,,,,,,,,,,0.20%
2280,,,,18.00%,,,,77.30%,0.50%,,,,,,,,,,,,,4.20%
2760,,,,15.90%,,,,57.60%,20.50%,,,,,,,,,,,,,6.10%
3130,,,,6.60%,,,1.00%,64.00%,23.20%,,,,,,,,,,,,,5.10%
3430,,,,7.00%,,,3.40%,58.20%,26.10%,,,,,,,,,,,,,5.30%
3530,,,,6.00%,,,7.00%,43.50%,31.00%,,,6.00%,,,,,,,,,1.50%,5.10%
3790,,,,5.50%,,,5.30%,39.10%,28.10%,1.90%,,12.60%,,,,,,,,,3.40%,4.10%
4075,,,,3.20%,,,6.00%,28.50%,32.30%,4.00%,1.50%,12.90%,,,,,,,,,5.00%,6.70%
4700,,,,1.10%,,,5.50%,16.70%,27.90%,12.90%,3.50%,22.40%,,,,,,,,,6.00%,4.00%
5750,,,,1.00%,,,5.40%,16.10%,29.00%,17.40%,1.80%,24.10%,,,,,,,,,3.10%,2.10%
6270,,,,1.00%,,,7.00%,10.40%,19.70%,22.00%,3.70%,31.80%,,,,,,,,,2.80%,1.50%
7135,,,,0.30%,,,7.10%,6.80%,26.80%,25.50%,2.10%,26.40%,,,,,,,,,3.30%,1.70%
8700,,,,0.60%,,,5.50%,6.30%,20.80%,34.10%,3.70%,26.90%,,,,,,,,,2.00%,
10000,,,,0.40%,,,,5.00%,11.50%,45.50%,9.10%,28.50%,,,,,,,,,,
