distance(units),Banana,GreenShell,RedShell,Mushroom,Bomb,Blooper,BlueShell,TripleShroom,Star,Bullet,Shock,QueenShroom,Flower,Plant,Boomerang,Coin,Boombox,TripleBanana,TripleGreen,TripleRed,CrazyEight,Boo
1,15.70%,18.30%,20.90%,24.00%,5.20%,,,,,,,,,,4.40%,,8.70%,2.80%,,,,
840,7.60%,12.30%,17.80%,29.60%,5.10%,,,0.50%,,,,,5.50%,,5.00%,,4.10%,3.80%,8.70%,,,
1190,4.90%,10.40%,19.60%,23.60%,3.10%,,,5.00%,,,,,10.00%,0.50%,7.30%,,5.50%,5.10%,5.10%,,,
1610,3.10%,9.30%,13.50%,21.70%,2.00%,,,15.50%,,,,,3.50%,3.50%,7.00%,,4.70%,6.00%,9.00%,0.80%,,0.40%
2280,1.70%,8.80%,15.00%,17.50%,1.70%,,,23.70%,0.10%,,,,5.40%,4.50%,1.30%,,1.90%,3.30%,7.70%,4.70%,,2.50%
2760,1.60%,7.80%,12.50%,14.30%,0.80%,,,22.70%,5.50%,,,,4.20%,6.70%,,,,4.70%,9.40%,6.30%,,3.40%
3130,1.30%,7.50%,13.20%,9.40%,1.00%,,0.40%,30.40%,7.70%,,,,4.70%,4.30%,,,,1.20%,7.90%,6.20%,,4.70%
3430,1.50%,5.30%,10.60%,11.50%,0.60%,0.60%,1.10%,32.00%,8.60%,,,,1.90%,5.70%,,,,,8.00%,8.20%,,4.40%
3530,1.50%,6.70%,10.90%,12.90%,0.10%,0.90%,2.90%,24.40%,11.50%,,,1.60%,2.30%,6.30%,,,,,5.80%,8.20%,0.20%,3.70%
3790,1.30%,5.10%,9.30%,10.90%,,1.00%,0.70%,29.30%,9.20%,0.10%,,4.10%,2.70%,4.80%,,,,,9.80%,7.30%,0.70%,3.70%
4075,0.60%,4.00%,5.90%,6.60%,,2.70%,2.70%,24.20%,15.60%,0.70%,,6.30%,1.20%,6.30%,,,,,8.40%,6.10%,0.50%,8.20%
4700,1.60%,2.90%,3.60%,4.10%,,2.30%,4.10%,21.10%,21.10%,2.90%,,13.50%,,3.80%,,,,,4.80%,4.90%,1.80%,7.50%
5750,0.90%,3.50%,1.00%,4.60%,,2.10%,5.00%,25.10%,27.20%,4.90%,,18.10%,,0.80%,,,,,0.70%,,1.20%,5.00%
6270,1.30%,3.50%,,5.40%,,3.90%,7.30%,18.00%,20.50%,6.90%,,26.50%,,,,,,,1.60%,,1.20%,3.90%
7135,1.40%,4.80%,,1.90%,,1.90%,8.10%,12.80%,30.30%,8.70%,,23.90%,,,,,,,,,1.50%,4.70%
8700,0.70%,1.60%,,4.10%,,1.80%,7.20%,14.00%,27.50%,13.50%,,28.50%,,,,,,,,,1.10%,
10000,1.70%,3.80%,,3.50%,,,,14.50%,20.00%,23.20%,,33.30%,,,,,,,,,,
